"Data","Ultimo","Apertura","Massimo","Minimo","Var. %"
"08.04.2026","102,660","102,500","102,780","102,200","1,09%"
"07.04.2026","101,550","101,830","102,070","101,530","-0,53%"
"02.04.2026","102,090","101,710","102,160","101,710","-0,03%"
"01.04.2026","102,120","102,300","102,410","102,020","0,23%"
"31.03.2026","101,890","101,590","101,890","101,550","0,22%"
"30.03.2026","101,670","101,370","101,720","101,320","0,29%"
"27.03.2026","101,380","101,300","101,570","101,070","-0,21%"
"26.03.2026","101,590","101,700","101,960","101,590","-0,50%"
"25.03.2026","102,100","101,750","102,270","101,750","0,27%"
"24.03.2026","101,830","101,950","102,130","101,660","-0,03%"
"23.03.2026","101,860","101,600","102,480","101,070","0,08%"
"20.03.2026","101,780","102,270","102,460","101,770","-0,42%"
"19.03.2026","102,210","102,120","102,540","102,000","-0,29%"
"18.03.2026","102,510","102,940","103,000","102,480","-0,37%"
"17.03.2026","102,890","102,650","102,910","102,650","0,32%"
"16.03.2026","102,560","102,400","102,770","102,400","0,14%"
"13.03.2026","102,420","102,310","102,700","102,310","-0,18%"
"12.03.2026","102,600","102,550","102,910","102,380","-0,18%"
"11.03.2026","102,780","103,220","103,270","102,740","-0,66%"
"10.03.2026","103,460","103,140","103,490","103,040","0,63%"
"09.03.2026","102,810","102,610","102,940","102,140","0,19%"
