"Data","Ultimo","Apertura","Massimo","Minimo","Var. %"
"08.04.2026","101,730","101,630","101,740","101,580","1,48%"
"07.04.2026","100,250","100,770","100,950","100,200","-0,62%"
"02.04.2026","100,880","100,570","100,970","100,400","-0,06%"
"01.04.2026","100,940","101,390","101,390","100,860","0,18%"
"31.03.2026","100,760","100,330","100,760","100,250","0,36%"
"30.03.2026","100,400","100,070","100,400","99,980","0,39%"
"27.03.2026","100,010","100,000","100,080","99,600","-0,16%"
"26.03.2026","100,170","100,510","100,510","100,170","-0,67%"
"25.03.2026","100,850","100,730","101,020","100,720","0,35%"
"24.03.2026","100,500","100,880","100,980","100,350","-0,26%"
"23.03.2026","100,760","100,080","102,040","99,570","0,28%"
"20.03.2026","100,480","101,420","101,440","100,470","-0,81%"
"19.03.2026","101,300","101,240","101,400","100,890","-0,27%"
"18.03.2026","101,570","102,090","102,140","101,550","-0,33%"
"17.03.2026","101,910","101,770","102,050","101,770","0,13%"
"16.03.2026","101,780","101,540","101,930","101,540","0,33%"
"13.03.2026","101,450","101,350","101,800","101,350","-0,19%"
"12.03.2026","101,640","101,830","101,970","101,570","-0,29%"
"11.03.2026","101,940","102,410","102,420","101,940","-0,83%"
"10.03.2026","102,790","102,810","102,810","102,500","0,64%"
"09.03.2026","102,140","101,330","102,150","101,330","0,03%"
